EngagementID;ContentID;CampaignID;ProductID;ContentType;Likes;Views;Clicks;EngagementDate
1;39;1;9;BLOG;190;1883;671;30.08.2023
2;48;18;20;BLOG;114;5280;532;28.03.2023
3;16;7;14;VIDEO;32;1905;204;08.12.2023
4;43;19;20;VIDEO;17;2766;257;21.01.2025
5;16;6;15;NEWSLETTER;306;5116;1524;21.02.2024
6;32;18;19;SOCIAL MEDIA;648;8237;1641;18.06.2023
7;33;12;2;SOCIAL MEDIA;1;750;34;01.10.2025
8;47;17;6;BLOG;1;891;35;31.03.2025
9;48;13;16;BLOG;123;5571;1527;19.03.2024
10;4;15;15;BLOG;25;4279;297;03.12.2023
11;38;19;6;SOCIAL MEDIA;29;4297;234;26.05.2024
12;29;3;10;SOCIAL MEDIA;396;7877;2037;15.06.2023
13;14;12;18;VIDEO;12;1796;136;04.02.2025
14;2;16;2;SOCIAL MEDIA;317;6837;2251;26.08.2023
15;16;6;19;SOCIAL MEDIA;0;36;1;20.10.2025
16;2;17;16;SOCIAL MEDIA;276;5980;1227;06.07.2023
17;35;18;10;BLOG;9;563;104;17.05.2024
18;12;19;8;VIDEO;0;321;15;26.10.2024
19;30;11;9;NEWSLETTER;118;1442;400;29.10.2023
20;35;4;6;BLOG;0;41;7;07.10.2024
21;26;1;6;BLOG;7;1037;111;28.12.2024
22;11;12;16;VIDEO;357;5543;1288;04.04.2024
23;21;8;18;NEWSLETTER;4;522;43;27.12.2024
24;38;8;16;NEWSLETTER;65;3651;377;20.05.2024
25;33;6;10;NEWSLETTER;0;487;5;17.11.2025
26;31;20;20;VIDEO;2;1742;71;04.06.2025
27;42;4;3;VIDEO;72;3225;337;27.07.2024
28;29;2;16;SOCIAL MEDIA;7;165;48;22.12.2023
29;15;17;20;VIDEO;0;58;2;02.08.2025
30;29;20;17;NEWSLETTER;14;1010;196;10.09.2024
31;1;4;4;SOCIAL MEDIA;2;1079;44;10.06.2025
32;37;19;16;BLOG;0;441;9;04.11.2025
33;44;1;7;BLOG;3;1415;76;21.06.2025
34;1;11;4;SOCIAL MEDIA;29;1223;127;18.04.2023
35;2;13;15;VIDEO;1;704;17;26.07.2025
36;29;9;19;NEWSLETTER;6;1788;75;11.06.2025
37;32;7;1;VIDEO;400;9759;3095;24.01.2023
38;30;16;15;NEWSLETTER;449;2674;956;02.01.2023
39;24;11;11;VIDEO;373;4881;1204;02.09.2023
40;18;4;4;VIDEO;215;3222;793;02.04.2024
41;8;2;12;SOCIAL MEDIA;193;4654;1083;01.06.2024
42;16;17;8;BLOG;840;6771;2617;23.07.2023
43;34;8;1;NEWSLETTER;92;3640;370;12.08.2023
44;18;9;8;NEWSLETTER;3;1341;66;10.04.2025
45;9;15;12;BLOG;4;797;103;19.10.2024
46;5;1;1;BLOG;11;2549;228;29.09.2024
47;41;3;12;VIDEO;33;1145;130;08.06.2024
48;19;17;8;VIDEO;15;1648;163;26.01.2025
49;41;19;3;NEWSLETTER;0;171;8;13.07.2025
50;43;15;14;SOCIAL MEDIA;11;1066;110;23.06.2024
51;44;6;17;NEWSLETTER;44;2725;358;25.02.2025
52;41;3;15;BLOG;3;1617;70;22.04.2025
53;41;16;15;VIDEO;2;599;39;20.09.2024
54;40;13;17;BLOG;0;706;34;22.09.2025
55;50;18;6;BLOG;18;2387;201;01.04.2025
56;24;10;5;SOCIAL MEDIA;1;922;39;19.12.2025
57;8;7;20;VIDEO;3;944;91;12.01.2025
58;2;17;9;VIDEO;0;578;11;07.11.2025
59;37;10;1;VIDEO;0;219;7;17.07.2025
60;1;19;7;SOCIAL MEDIA;0;404;15;15.10.2025
